drugname,pt,a,b,c,d,PRR,ROR,ROR_CI_Lower,ROR_CI_Upper,Chi_Square,Chi2p_value,Fisherp_value,signal_status
DENOSUMAB,ATYPICAL FRACTURE,13,102.00,6.00,390260.00,7352.84,8289.84,3090.70,22234.93,30178.59,0.00,0.00,signal detected
CRYSVITA,CRANIOSYNOSTOSIS,4,189.00,1.00,390187.00,8086.80,8257.93,918.69,74229.02,6467.92,0.00,0.00,signal detected
TOBRADEX,OCULAR HYPERTENSION,3,13.00,11.00,390354.00,6653.95,8189.24,2044.75,32798.04,15680.16,0.00,0.00,signal detected
FILSUVEZ,WOUND COMPLICATION,5,27.00,9.00,390340.00,6776.89,8031.69,2526.69,25530.63,21777.22,0.00,0.00,signal detected
ROPIVACAINE,MATERNAL EXPOSURE DURING DELIVERY,3,21.00,7.00,390350.00,6970.66,7966.33,1928.37,32909.81,14634.56,0.00,0.00,signal detected
ELMIRON,DRY AGE-RELATED MACULAR DEGENERATION,12,149.00,4.00,390216.00,7271.18,7856.70,2505.33,24638.55,21808.43,0.00,0.00,signal detected
INOTUZUMAB OZOGAMICIN,VENOOCCLUSIVE DISEASE,3,15.00,10.00,390353.00,6506.05,7807.06,1952.47,31216.95,15009.85,0.00,0.00,signal detected
ELMIRON,MACULOPATHY,31,130.00,12.00,390208.00,6261.29,7754.13,3896.30,15431.70,54156.14,0.00,0.00,signal detected
LEUPROLIDE ACETATE,BULBOSPINAL MUSCULAR ATROPHY CONGENITAL,4,202.00,1.00,390174.00,7576.21,7726.22,859.79,69428.91,6059.45,0.00,0.00,signal detected
CELECOXIB,MYOCARDIAL OEDEMA,3,76.00,2.00,390300.00,7410.80,7703.29,1269.15,46756.22,8890.67,0.00,0.00,signal detected
DOXAZOSIN,FACIAL PARESIS,4,29.00,7.00,390341.00,6759.27,7691.45,2135.77,27698.80,17200.82,0.00,0.00,signal detected
WARFARIN,ANTICOAGULANT-RELATED NEPHROPATHY,4,52.00,4.00,390321.00,6970.09,7506.17,1828.31,30816.79,13936.46,0.00,0.00,signal detected
NICORETTE,NICOTINE DEPENDENCE,9,52.00,9.00,390311.00,6398.69,7505.98,2865.07,19664.35,28786.43,0.00,0.00,signal detected
MORPHINE,POSTOPERATIVE RESPIRATORY FAILURE,3,156.00,1.00,390221.00,7362.68,7504.25,776.33,72538.59,5520.57,0.00,0.00,signal detected
ERYTHROMYCIN ETHYLSUCCINATE,DRUG-INDUCED LIVER INJURY,9,1.00,483.00,389888.00,727.40,7264.99,918.62,57455.76,6417.27,0.00,0.00,signal detected
CALCITRIOL,MILK-ALKALI SYNDROME,10,49.00,11.00,390311.00,6014.21,7241.39,2941.18,17828.82,31494.21,0.00,0.00,signal detected
XDEMVY,INSTILLATION SITE IRRITATION,14,151.00,5.00,390211.00,6621.85,7235.70,2574.11,20339.21,24390.10,0.00,0.00,signal detected
TALC,EPITHELIOID MESOTHELIOMA,3,81.00,2.00,390295.00,6969.59,7227.69,1191.82,43831.53,8361.21,0.00,0.00,signal detected
FABRAZYME,GLOBOTRIAOSYLSPHINGOSINE INCREASED,3,163.00,1.00,390214.00,7052.08,7181.85,743.15,69406.01,5287.61,0.00,0.00,signal detected
AZTREONAM LYSINE,CYSTIC FIBROSIS,40,168.00,13.00,390160.00,5771.79,7145.79,3753.79,13602.87,56616.95,0.00,0.00,signal detected
PROPOFOL,RENAL ISCHAEMIA,3,165.00,1.00,390212.00,6968.09,7094.76,734.18,68560.05,5224.62,0.00,0.00,signal detected
PARATHYROID HORMONE,RECALLED PRODUCT,3,42.00,4.00,390332.00,6505.60,6970.21,1513.50,32100.41,11149.23,0.00,0.00,signal detected
SKYCLARYS,FRIEDREICH'S ATAXIA,3,177.00,1.00,390200.00,6503.35,6613.56,684.63,63887.71,4876.06,0.00,0.00,signal detected
HEPARIN SODIUM,PRODUCT MEASURED POTENCY ISSUE,3,179.00,1.00,390198.00,6431.85,6539.63,677.01,63170.18,4822.44,0.00,0.00,signal detected
TRIAMCINOLONE ACETONIDE,PLEOCYTOSIS,3,90.00,2.00,390286.00,6294.97,6504.77,1074.03,39395.58,7551.66,0.00,0.00,signal detected
ILARIS,STILL'S DISEASE,3,180.00,1.00,390197.00,6396.69,6503.28,673.26,62817.43,4796.07,0.00,0.00,signal detected
ACETAZOLAMIDE,CHOROIDAL EFFUSION,5,38.00,8.00,390330.00,5673.52,6419.90,2009.06,20514.59,17451.40,0.00,0.00,signal detected
CIPROFLOXACIN,NEUROPSYCHIATRIC SYNDROME,9,550.00,1.00,389821.00,6276.20,6378.89,806.77,50436.11,5646.93,0.00,0.00,signal detected
OSIMERTINIB,ACQUIRED GENE MUTATION,3,92.00,2.00,390284.00,6162.41,6363.33,1050.95,38529.03,7392.59,0.00,0.00,signal detected
NUVARING,PREGNANCY WITH CONTRACEPTIVE DEVICE,4,19.00,13.00,390345.00,5222.18,6321.38,1889.70,21146.15,15968.31,0.00,0.00,signal detected
DUTASTERIDE,PERINEAL PAIN,3,62.00,3.00,390313.00,6004.86,6295.37,1246.37,31797.70,9004.43,0.00,0.00,signal detected
LISTERINE ORIGINAL,DRUG ABUSE,68,14.00,303.00,389996.00,1068.19,6251.70,3478.83,11234.77,59268.91,0.00,0.00,signal detected
EPKINLY,DIFFUSE LARGE B-CELL LYMPHOMA REFRACTORY,19,170.00,7.00,390185.00,5603.66,6229.84,2585.21,15012.68,28656.58,0.00,0.00,signal detected
SOLUPREP,DERMATITIS,4,2.00,126.00,390249.00,2065.48,6194.43,1124.43,34124.66,8002.61,0.00,0.00,signal detected
SPINRAZA,POST LUMBAR PUNCTURE SYNDROME,13,164.00,5.00,390199.00,5731.81,6186.08,2180.56,17549.41,20691.94,0.00,0.00,signal detected
SUPPRELIN LA,EXPULSION OF MEDICATION,3,38.00,5.00,390335.00,5712.29,6163.18,1422.36,26705.43,10707.02,0.00,0.00,signal detected
METHYLPREDNISOLONE,INTERVENTRICULAR SEPTUM RUPTURE,3,190.00,1.00,390187.00,6065.10,6160.85,637.97,59494.98,4547.37,0.00,0.00,signal detected
PRAMIPEXOLE,"DELUSIONAL DISORDER, PERSECUTORY TYPE",3,48.00,4.00,390326.00,5740.15,6098.84,1329.26,27982.36,9837.00,0.00,0.00,signal detected
DELFLEX WITH DEXTROSE 1.5% LOW MAGNESIUM LOW CALCIUM,PERITONITIS BACTERIAL,23,67.00,22.00,390269.00,4533.68,6089.68,3237.94,11453.02,50962.14,0.00,0.00,signal detected
MAGNESIUM SULFATE,DELIVERY,3,39.00,5.00,390334.00,5576.27,6005.14,1387.12,25997.61,10451.97,0.00,0.00,signal detected
BIMATOPROST,OPEN ANGLE GLAUCOMA,3,18.00,11.00,390349.00,5069.61,5914.38,1521.57,22989.37,11945.51,0.00,0.00,signal detected
NEXPLANON,IMPLANT SITE PAIN,8,264.00,2.00,390107.00,5736.90,5910.71,1249.27,27965.57,9176.07,0.00,0.00,signal detected
NOXAFIL,LABELLED DRUG-DRUG INTERACTION ISSUE,18,63.00,19.00,390281.00,4564.91,5868.89,2942.63,11705.12,42180.11,0.00,0.00,signal detected
VOXELOTOR,ACUTE CHEST SYNDROME,5,37.00,9.00,390330.00,5163.21,5860.81,1874.89,18320.59,16590.21,0.00,0.00,signal detected
GADOLINIUM,BLOOD TEST ABNORMAL,20,12.00,111.00,390238.00,2197.91,5859.43,2797.07,12274.61,37225.65,0.00,0.00,signal detected
FIRDAPSE,MYASTHENIC SYNDROME,3,67.00,3.00,390308.00,5575.87,5825.49,1154.99,29382.37,8360.94,0.00,0.00,signal detected
CHLORHEXIDINE GLUCONATE,TOOTH DISCOLOURATION,5,16.00,21.00,390339.00,4425.85,5808.62,1950.03,17302.28,17866.74,0.00,0.00,signal detected
HAEGARDA,HEREDITARY ANGIOEDEMA,77,62.00,84.00,390158.00,2573.54,5768.47,3878.40,8579.61,103351.40,0.00,0.00,signal detected
GADAVIST,CONTRAST MEDIA REACTION,5,38.00,9.00,390329.00,5043.13,5706.56,1827.74,17817.04,16204.20,0.00,0.00,signal detected
PHENTERMINE,CORONARY ARTERY DISSECTION,3,23.00,9.00,390346.00,5004.55,5657.19,1438.84,22242.82,11256.09,0.00,0.00,signal detected
TERIFLUNOMIDE,STREPTOCOCCAL SEPSIS,4,69.00,4.00,390304.00,5346.68,5656.58,1386.72,23073.73,10689.59,0.00,0.00,signal detected
TACROLIMUS,VIRAL LOAD,18,1239.00,1.00,389123.00,5572.18,5653.12,754.07,42380.49,5277.27,0.00,0.00,signal detected
CILTACABTAGENE AUTOLEUCEL,T-CELL LYMPHOMA,3,19.00,11.00,390348.00,4839.16,5603.08,1447.47,21689.30,11402.29,0.00,0.00,signal detected
BELBUCA,DENTAL CARIES,3,4.00,53.00,390321.00,3156.66,5523.41,1206.83,25279.42,8958.28,0.00,0.00,signal detected
EYLEA HD,NON-INFECTIOUS ENDOPHTHALMITIS,6,106.00,4.00,390265.00,5226.82,5522.62,1536.38,19851.37,12539.88,0.00,0.00,signal detected
ZTALMY,CHANGE IN SEIZURE PRESENTATION,11,27.00,29.00,390314.00,3896.35,5483.34,2488.75,12081.18,31060.59,0.00,0.00,signal detected
HYDRALAZINE HCL,ANTINUCLEAR ANTIBODY POSITIVE,3,18.00,12.00,390348.00,4647.14,5421.50,1409.86,20847.99,11148.77,0.00,0.00,signal detected
BIVALIRUDIN,CATHETER SITE HAEMORRHAGE,4,24.00,12.00,390341.00,4647.06,5421.40,1632.48,18004.26,13935.75,0.00,0.00,signal detected
LITHIUM,HYPERPARATHYROIDISM,5,60.00,6.00,390310.00,5004.05,5420.97,1610.84,18243.19,13642.34,0.00,0.00,signal detected
TRANEXAMIC ACID,ISCHAEMIA,6,62.00,7.00,390306.00,4919.91,5395.94,1763.23,16512.93,15889.17,0.00,0.00,signal detected
PARAGARD T 380A,DEFORMITY,21,220.00,7.00,390133.00,4856.51,5320.00,2238.72,12642.18,25488.03,0.00,0.00,signal detected
OMEPRAZOLE,BURNING MOUTH SYNDROME,11,405.00,2.00,389963.00,5155.79,5295.79,1170.11,23968.12,8722.08,0.00,0.00,signal detected
ZOLEDRONIC ACID,ACUTE PHASE REACTION,4,295.00,1.00,390081.00,5218.49,5289.23,589.40,47464.95,4173.24,0.00,0.00,signal detected
PALYNZIQ,AMINO ACID LEVEL DECREASED,4,297.00,1.00,390079.00,5183.79,5253.59,585.44,47144.14,4145.48,0.00,0.00,signal detected
TACROLIMUS,LIVER TRANSPLANT REJECTION,33,1224.00,2.00,389122.00,5107.83,5245.52,1257.29,21884.66,9629.01,0.00,0.00,signal detected
PANITUMUMAB,COLORECTAL CANCER METASTATIC,6,25.00,18.00,390332.00,4197.31,5204.43,1907.58,14199.18,18880.07,0.00,0.00,signal detected
HYDRALAZINE,ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE VASCULITIS,18,45.00,30.00,390288.00,3717.31,5203.84,2707.58,10001.53,41802.43,0.00,0.00,signal detected
TESTOSTERONE CYPIONATE,PRODUCT DEPOSIT,24,200.00,9.00,390148.00,4644.73,5201.97,2388.09,11331.44,30391.32,0.00,0.00,signal detected
HEPARIN,HEPARIN-INDUCED THROMBOCYTOPENIA,28,81.00,26.00,390246.00,3855.90,5188.46,2915.10,9234.71,51963.45,0.00,0.00,signal detected
CABERGOLINE,BRAIN HERNIATION,3,29.00,8.00,390341.00,4574.40,5047.51,1275.01,19982.08,9976.43,0.00,0.00,signal detected
LIOTHYRONINE,RECALLED PRODUCT ADMINISTERED,22,14.00,122.00,390223.00,1955.28,5026.29,2513.03,10053.04,36420.41,0.00,0.00,signal detected
FINASTERIDE,VISUAL PERSEVERATION,3,237.00,1.00,390140.00,4876.76,4938.48,511.84,47648.50,3656.11,0.00,0.00,signal detected
RANIBIZUMAB,RETINAL OEDEMA,3,22.00,11.00,390345.00,4258.43,4838.99,1262.92,18541.00,10033.37,0.00,0.00,signal detected
GABLOFEN,MUSCLE SPASTICITY,10,27.00,30.00,390314.00,3516.61,4818.69,2145.75,10821.31,26362.30,0.00,0.00,signal detected
OMEPRAZOLE,RENAL ATROPHY,5,411.00,1.00,389964.00,4687.08,4744.09,553.03,40696.80,3904.29,0.00,0.00,signal detected
REGUNEAL LCA,PERITONEAL CLOUDY EFFLUENT,4,37.00,9.00,390331.00,4231.33,4688.66,1382.71,15898.83,11712.38,0.00,0.00,signal detected
BLINATUMOMAB,ACUTE LYMPHOCYTIC LEUKAEMIA RECURRENT,14,60.00,20.00,390287.00,3692.09,4553.35,2197.89,9433.14,30391.65,0.00,0.00,signal detected
QSYMIA,POLYCYSTIC OVARIAN SYNDROME,4,49.00,7.00,390321.00,4208.39,4551.85,1291.15,16047.25,10707.47,0.00,0.00,signal detected
XYLOMETAZOLINE HYDROCHLORIDE,DRUG DEPENDENCE,19,6.00,272.00,390084.00,1090.70,4541.42,1799.88,11458.83,19349.16,0.00,0.00,signal detected
MICONAZOLE 3 COMBINATION PACK,VULVOVAGINAL BURNING SENSATION,16,43.00,32.00,390290.00,3307.81,4538.26,2321.23,8872.80,35266.35,0.00,0.00,signal detected
DIANEAL FOR PERITONEAL DIALYSIS,THERAPEUTIC PRODUCT EFFECT INCREASED,4,23.00,15.00,390339.00,3855.35,4525.67,1395.88,14672.96,12169.06,0.00,0.00,signal detected
RUFINAMIDE,CHANGE IN SEIZURE PRESENTATION,3,7.00,37.00,390334.00,3165.17,4521.24,1125.70,18159.10,8778.70,0.00,0.00,signal detected
AMOXICILLIN\CLAVULANATE POTASSIUM,CLOSTRIDIAL SEPSIS,3,87.00,3.00,390288.00,4336.57,4486.07,893.06,22534.56,6501.95,0.00,0.00,signal detected
RUCONEST,VASCULAR ACCESS SITE COMPLICATION,4,174.00,2.00,390201.00,4384.30,4485.07,816.16,24647.06,5843.16,0.00,0.00,signal detected
TRI-LO-SPRINTEC,RECALLED PRODUCT ADMINISTERED,12,8.00,132.00,390229.00,1774.37,4434.42,1783.64,11024.68,19503.25,0.00,0.00,signal detected
EPINEPHRINE HYDROCHLORIDE,PRODUCT QUALITY ISSUE,4,1.00,354.00,390022.00,882.21,4407.03,491.34,39528.59,3484.68,0.00,0.00,signal detected
PLAN B ONE-STEP,PREGNANCY AFTER POST COITAL CONTRACEPTION,17,378.00,4.00,389982.00,4196.05,4384.72,1468.52,13091.91,13581.47,0.00,0.00,signal detected
VALPROATE,HYPERAMMONAEMIA,3,18.00,15.00,390345.00,3717.71,4337.17,1155.25,16283.04,9289.71,0.00,0.00,signal detected
TALIMOGENE LAHERPAREPVEC,METASTATIC MALIGNANT MELANOMA,3,18.00,15.00,390345.00,3717.71,4337.17,1155.25,16283.04,9289.71,0.00,0.00,signal detected
CHILDREN CLARITIN ALLERGY,ACCIDENTAL EXPOSURE TO PRODUCT BY CHILD,3,9.00,30.00,390339.00,3253.08,4337.10,1118.98,16810.28,8867.32,0.00,0.00,signal detected
EMPAGLIFLOZIN\METFORMIN HYDROCHLORIDE,EUGLYCAEMIC DIABETIC KETOACIDOSIS,4,5.00,72.00,390300.00,2409.70,4336.67,1141.29,16478.45,9125.71,0.00,0.00,signal detected
HYDROXYUREA,POLYCHONDRITIS,3,55.00,5.00,390318.00,4037.82,4258.01,993.25,18253.96,7567.33,0.00,0.00,signal detected
